1,0,378278
1,1,378278
1,2,378278
1,3,378278
1,4,378278
1,5,378278
1,6,378278
1,7,378278
1,8,378278
1,9,378278
1,10,378278
1,11,378278
1,12,378278
1,13,378278
1,14,378278
1,15,378278
1,16,378278
1,17,378278
1,18,378277
1,19,378277
2,0,66915
2,1,66642
2,2,67011
2,3,66925
2,4,66360
2,5,66865
2,6,66898
2,7,67028
2,8,66645
2,9,67235
2,10,67177
2,11,66826
2,12,67228
2,13,66597
2,14,66869
2,15,66646
2,16,66517
2,17,66938
2,18,66938
2,19,66616
3,0,24365
3,1,24635
3,2,24515
3,3,24206
3,4,24214
3,5,24369
3,6,24237
3,7,24156
3,8,24341
3,9,24127
3,10,24175
3,11,24371
3,12,24021
3,13,24168
3,14,24435
3,15,24485
3,16,24171
3,17,24164
3,18,24276
3,19,24314
4,0,11812
4,1,11764
4,2,11764
4,3,11822
4,4,11815
4,5,11907
4,6,11776
4,7,11721
4,8,11823
4,9,11987
4,10,12032
4,11,11849
4,12,11565
4,13,11921
4,14,11815
4,15,11803
4,16,11792
4,17,11774
4,18,11697
4,19,11947
5,0,6748
5,1,6747
5,2,6747
5,3,6747
5,4,6747
5,5,6747
5,6,6747
5,7,6747
5,8,6747
5,9,6747
5,10,6747
5,11,6747
5,12,6747
5,13,6747
5,14,6747
5,15,6747
5,16,6747
5,17,6747
5,18,6747
5,19,6747
6,0,4243
6,1,4248
6,2,4257
6,3,4302
6,4,4224
6,5,4319
6,6,4173
6,7,4348
6,8,4213
6,9,4321
6,10,4228
6,11,4285
6,12,4270
6,13,4238
6,14,4413
6,15,4279
6,16,4141
6,17,4257
6,18,4286
6,19,4378
7,0,2905
7,1,2899
7,2,2925
7,3,2823
7,4,2906
7,5,2879
7,6,2974
7,7,2939
7,8,2962
7,9,2823
7,10,2876
7,11,2841
7,12,2913
7,13,2945
7,14,2973
7,15,2922
7,16,2995
7,17,2907
7,18,2950
7,19,2937
8,0,2074
8,1,2107
8,2,2047
8,3,2032
8,4,2019
8,5,2031
8,6,2085
8,7,2143
8,8,2085
8,9,2066
8,10,2109
8,11,2077
8,12,2162
8,13,2082
8,14,2077
8,15,2084
8,16,2070
8,17,2038
8,18,2070
8,19,2140
9,0,1566
9,1,1566
9,2,1566
9,3,1566
9,4,1566
9,5,1566
9,6,1566
9,7,1566
9,8,1566
9,9,1566
9,10,1566
9,11,1566
9,12,1566
9,13,1566
9,14,1566
9,15,1565
9,16,1565
9,17,1565
9,18,1565
9,19,1565
10,0,1253
10,1,1168
10,2,1220
10,3,1210
10,4,1229
10,5,1163
10,6,1154
10,7,1200
10,8,1246
10,9,1257
10,10,1174
10,11,1190
10,12,1235
10,13,1140
10,14,1167
10,15,1147
10,16,1170
10,17,1184
10,18,1163
10,19,1194
